Variant,CAP Code,Make,Model,Variant Full Description,Model Year,Doors,Fuel,Body,Seats,Gearbox,Gears,BHP,Eng CC,CO2,Com-bined MPG,Vehicle List Price,Vehicle List Price Including Metallic Paint,Vehicle Total Disc, Vehicle OTR Price,VRB,P11D Price,POL,Mileage,Finance Rental,Service Rental,Net Rental,Dis-allowed VAT,Total inc Disallow VAT,Excess Rate,POL,Mileage,Finance Rental,Service Rental,Net Rental,Dis-allowed VAT,Total inc Disallow VAT,Excess Rate,Electric Range,Battery Capacity,RDE2
100040,DADU10ESE5EPTM  4,Dacia,Duster,Dacia Duster Estate Special Edition 1.0 TCe 90 Extreme SE 5Dr,2022,5,Petrol,Estate,5,Manual,6,90,999,140,45.6,13854.17,13854.17,0,17494.96,0,17220,24,10000,298.79,0,298.8,29.88,328.68,7.55,36,15000,249.5,0,249.5,24.95,274.45,7.55,0,0, 
100042,DADU13ESE5EPTM  4,Dacia,Duster,Dacia Duster Estate Special Edition 1.3 TCe 130 Extreme SE 5Dr,2022,5,Petrol,Estate,5,Manual,6,130,1332,141,45.6,14979.17,14979.17,0,18844.96,0,18570,24,10000,328.7,0,328.69,32.87,361.56,7.55,36,15000,272.02,0,272.03,27.2,299.23,7.55,0,0, 
100043,DADU13ESE5EPTA  4,Dacia,Duster,Dacia Duster Estate Special Edition 1.3 TCe 150 Extreme SE 5Dr EDC,2022,5,Petrol,Estate,5,Semi-auto,6,150,1332,142,44.8,16645.83,16645.83,0,20844.96,0,20569.99,24,10000,372.17,0,372.17,37.22,409.39,7.55,36,15000,305.5,0,305.51,30.55,336.06,7.55,0,0, 
100044,DADU15ESE5EDTM  4,Dacia,Duster,Dacia Duster Estate Special Edition 1.5 Blue dCi Extreme SE 5Dr,2022,5,Diesel,Estate,5,Manual,6,115,1461,127,57.6,15429.17,15429.17,0,19384.96,0,19110,24,10000,304.83,0,304.82,30.48,335.3,7.55,36,15000,258.17,0,258.17,25.82,283.99,7.55,0,0,RDE 2
100045,DADU15ESE5EDTM4 4,Dacia,Duster,Dacia Duster Estate Special Edition 1.5 Blue dCi Extreme SE 5Dr 4X4,2022,5,Diesel,Estate,5,Manual,6,115,1461,139,53.3,17312.5,17312.5,0,21979.96,0,21370,24,10000,389.76,0,389.76,38.98,428.74,7.55,36,15000,320.29,0,320.29,32.03,352.32,7.55,0,0,RDE 2
100046,PS2 009SM5HE A,Polestar,2,Polestar 2 Fastback 170kW 69kWh Standard Range Single Motor 5Dr Auto,2022,5,Electric,Hatchback,5,Auto,1,231,1,0,0,34083.33,34083.33,0,41900,0,41845,24,10000,581.82,0,581.82,58.18,640,7.55,36,15000,475.24,0,475.25,47.52,522.77,7.55,273,69, 
100047,PS2 009SP5HE A,Polestar,2,Polestar 2 Fastback 170kW 69kWh Standard Range SM [pilot] 5Dr Auto,2022,5,Electric,Hatchback,5,Auto,1,231,1,0,0,35875,35875,0,44050,0,43995,24,10000,622.53,0,622.53,62.25,684.78,7.55,36,15000,505.99,0,505.99,50.6,556.59,7.55,273,69, 
100048,PS2 009SL5HE A,Polestar,2,Polestar 2 Fastback 170kW 69kWh Standard Range SM [plus] 5Dr Auto,2022,5,Electric,Hatchback,5,Auto,1,231,1,0,0,37416.67,37416.67,0,45900,0,45845,24,10000,664.48,0,664.48,66.45,730.93,7.55,36,15000,537.18,0,537.19,53.72,590.91,7.55,273,69, 
100049,BM8S30MS 2CPTA  2,BMW,8 Series,BMW 8 Series Coupe 840i M Sport 2Dr Auto,2022,2,Petrol,Coupe,4,Semi-auto,8,333,2998,191,33.6,62270.83,62270.83,0,76940,0,75574.99,24,10000,1613.81,0,1613.82,161.38,1775.2,8.05,36,15000,1238.12,0,1238.13,123.81,1361.94,7.55,0,0, 
100050,BM8S30MSU2CPTA  2,BMW,8 Series,BMW 8 Series Coupe 840i M Sport 2Dr Auto [ultimate Pack],2022,2,Petrol,Coupe,4,Semi-auto,8,333,2998,191,33.6,77270.83,77270.83,0,94940,0,93574.99,24,10000,2092.73,0,2092.73,209.27,2302,9.1,36,15000,1585.64,0,1585.64,158.56,1744.2,7.55,0,0, 
100053,BM8S30MS 2VPTA  1,BMW,8 Series,BMW 8 Series Convertible 840i M Sport 2Dr Auto,2022,2,Petrol,Convertible,4,Semi-auto,8,333,2998,196,33.2,68104.17,68104.17,0,83940,0,82575,24,10000,1840.42,0,1840.42,184.04,2024.46,8.4,36,15000,1398.02,0,1398.02,139.8,1537.82,7.55,0,0, 
100054,BM8S30MSU2VPTA  1,BMW,8 Series,BMW 8 Series Convertible 840i M Sport 2Dr Auto [ultimate Pack],2022,2,Petrol,Convertible,4,Semi-auto,8,333,2998,196,33.2,80604.17,80604.17,0,98940,0,97575,24,10000,2212.09,0,2212.08,221.21,2433.29,9.1,36,15000,1671.02,0,1671.02,167.1,1838.12,7.55,0,0, 
100057,BM8S30MS 4SPTA  1,BMW,8 Series,BMW 8 Series Gran Coupe 840i M Sport 4Dr Auto,2022,4,Petrol,Saloon,5,Semi-auto,8,333,2998,197,33.2,60187.5,60187.5,0,74440,0,73075,24,10000,1442.18,0,1442.18,144.22,1586.4,8.05,36,15000,1125.73,0,1125.73,112.57,1238.3,7.55,0,0, 
100058,BM8S30MSU4SPTA  1,BMW,8 Series,BMW 8 Series Gran Coupe 840i M Sport 4Dr Auto [ultimate Pack],2022,4,Petrol,Saloon,5,Semi-auto,8,333,2998,197,33.2,76020.83,76020.83,0,93440,0,92074.99,24,10000,1956.85,0,1956.84,195.69,2152.53,9.1,36,15000,1498.19,0,1498.18,149.82,1648,7.55,0,0, 
100067,POTS0037 5EE A,Porsche,Taycan,Porsche Taycan Sport Turismo 300kW 79kWh 5Dr RWD Auto,2022,5,Electric,Estate,4,Auto,2,408,1,0,0,61375,61375,0,73705,0,73650,24,10000,1034.8,0,1034.8,103.48,1138.28,10.5,36,15000,839.3,0,839.3,83.93,923.23,7.55,222,79.2, 
100068,POTS003795EE A,Porsche,Taycan,Porsche Taycan Sport Turismo 300kW 79kWh 5Dr RWD Auto [5 Seat],2022,5,Electric,Estate,5,Auto,2,408,1,0,0,61655,61655,0,74041,0,73986,24,10000,1035.6,0,1035.6,103.56,1139.16,10.5,36,15000,840.75,0,840.75,84.08,924.83,7.55,222,79.2, 
