capcode,IDS ID,make,model,deriv,P11D,Rentals in P11D,  
ALGI14SR25HPTM,AL001390,Alfa Romeo,Giulietta,1.4 Turbo 120 Sprint 20,21900,54,
ALGI16SR25HDTA,AL001392,Alfa Romeo,Giulietta,1.6JTDM-2 120 Sprint Tct 20,24300,53,
ALGI16SR25HDTM,AL001391,Alfa Romeo,Giulietta,1.6JTDM-2 120 Sprint 20,23100,52,
ALST20SCP5EPTA4,AL001405,Alfa Romeo,Stelvio,2.0 T 200 Sprint Convenience Pack Auto AWD 22,43899,45,
ALST20VLS5EPTA4,AL001407,Alfa Romeo,Stelvio,2.0 T 280hp Veloce Lsd AU AWD 22,49599,49,
ALST22SCP5EDTA4,AL001406,Alfa Romeo,Stelvio,2.2D T 190 Sprint Convenience Pack Auto AWD 22,44689.01,46,
ALST22VLS5EDTA4,AL001408,Alfa Romeo,Stelvio,2.2D T 210hp Veloce Lsd AU AWD 22,50389.01,49,
ALST296QA5EPTA4,AL001409,Alfa Romeo,Stelvio,2.9 BiTurbo V6 510 Quadrifoglio Auto AWD 22,72699,52,
APA118   2CPTA,AI000018,Alpine,A110 Coupe,2 Door 1.8 Turbo 252PS DCT 22,49295,61,
APA118GT 2CPTA,AI000020,Alpine,A110 Coupe,2 Door 1.8 Turbo 300PS GT DCT 22,58745,60,
APA11830S2CPTA,AI000019,Alpine,A110 Coupe,2 Door 1.8 Turbo 300PS S DCT 22,59345,59,
AUA110BLK5HPTM  2,AU017577,Audi,A1 5 Door Sportback,25 TFSI 95 Black Edition 22,24915,68,
AUA110SL 5HPTM  2,AU017587,Audi,A1 5 Door Sportback,25 TFSI 95 S Line 22,23120,71,
AUA110SP 5HPTA  2,AU017591,Audi,A1 5 Door Sportback,25 TFSI 95 Sport S tronic 22,23010,66,
AUA110SP 5HPTM  2,AU017585,Audi,A1 5 Door Sportback,25 TFSI 95 Sport 22,21470,69,
AUA110TEK5HPTM  2,AU017589,Audi,A1 5 Door Sportback,25 TFSI 95 Technik 22,20020,70,
AUA1103BE5HPTM  2,AU017581,Audi,A1 5 Door Sportback,30 TFSI 110 Black Edition 22,25650,67,
AUA11011L5HPTM  2,AU017567,Audi,A1 5 Door Sportback,30 TFSI 110 S Line 22,23855,69,
AUA11011S5HPTM  2,AU017571,Audi,A1 5 Door Sportback,30 TFSI 110 Sport 22,22205,67,
AUA110TE15HPTM  2,AU017573,Audi,A1 5 Door Sportback,30 TFSI 110 Technik 22,20755,68,
AUA110BLK5HPTA  2,AU017579,Audi,A1 5 Door Sportback,25 TFSI 95 Black Edition S tronic 22,26455,66,
AUA110BLT5HPTA  2,AU017580,Audi,A1 5 Door Sportback,25 TFSI 95 Black Edition Tech Pack S tronic 22,28000,64,
AUA110BLT5HPTM  2,AU017578,Audi,A1 5 Door Sportback,25 TFSI 95 Black Edition Tech Pack 22,26460,66,
AUA110SL 5HPTA  2,AU017593,Audi,A1 5 Door Sportback,25 TFSI 95 S Line S tronic 22,24660,68,
AUA110STL5HPTM  2,AU017588,Audi,A1 5 Door Sportback,25 TFSI 95 S Line Tech Pack 22,24665,68,
AUA110STL5HPTA  2,AU017594,Audi,A1 5 Door Sportback,25 TFSI 95 S Line Tech Pack S tronic 22,26205,66,
AUA110STT5HPTA  2,AU017592,Audi,A1 5 Door Sportback,25 TFSI 95 Sport Tech Pack S tronic 22,24555,64,
AUA110STT5HPTM  2,AU017586,Audi,A1 5 Door Sportback,25 TFSI 95 Sport Tech Pack 22,23015,66,
AUA1103BE5HPTA  2,AU017582,Audi,A1 5 Door Sportback,30 TFSI 110 Black Edition S tronic 22,27190,65,
AUA1103DT5HPTA  2,AU017584,Audi,A1 5 Door Sportback,30 TFSI 110 Black Edition Tech Pack S tronic 22,28735,63,
AUA1103DT5HPTM  2,AU017583,Audi,A1 5 Door Sportback,30 TFSI 110 Black Edition Tech Pack 22,27195,65,
AUA11011L5HPTA  2,AU017568,Audi,A1 5 Door Sportback,30 TFSI 110 S Line S tronic 22,25395,67,
AUA1101LT5HPTM  2,AU017569,Audi,A1 5 Door Sportback,30 TFSI 110 S Line Tech Pack 22,25400,67,
AUA1101LT5HPTA  2,AU017570,Audi,A1 5 Door Sportback,30 TFSI 110 S Line Tech Pack S tronic 22,26940,65,
AUA11011S5HPTA  2,AU017572,Audi,A1 5 Door Sportback,30 TFSI 110 Sport S tronic 22,23745,65,
AUA1101SC5HPTA  2,AU017566,Audi,A1 5 Door Sportback,30 TFSI 110 Sport Tech Pack S tronic 22,25290,63,
AUA1101SC5HPTM  2,AU017565,Audi,A1 5 Door Sportback,30 TFSI 110 Sport Tech Pack 22,23750,65,
AUA110TE15HPTA  2,AU017574,Audi,A1 5 Door Sportback,30 TFSI 110 Technik S tronic 22,22295,66,
AUA1153BL5HPTA  2,AU017600,Audi,A1 5 Door Sportback,35 TFSI 150 Black Edition S tronic 22,28215,65,
AUA1153BC5HPTA  2,AU017601,Audi,A1 5 Door Sportback,35 TFSI 150 Black Edition Tech Pack S tronic 22,29760,63,
AUA115SL 5HPTA  2,AU017598,Audi,A1 5 Door Sportback,35 TFSI 150 S Line S tronic 22,26420,67,
AUA115STL5HPTA  2,AU017599,Audi,A1 5 Door Sportback,35 TFSI 150 S Line Tech Pack S tronic 22,27965,65,
AUA3103SI4SPTM  2,AU018284,Audi,A3 4 Door Saloon,30 TFSI 110ps S Line 22,29115,67,
AUA31030S4SPTA  2,AU018290,Audi,A3 4 Door Saloon,30 TFSI 110ps Sport S tronic 22,28765,64,
AUA31030S4SPTM  2,AU018286,Audi,A3 4 Door Saloon,30 TFSI 110ps Sport 22,27215,65,
AUA3203SN4SDTA  2,AU018316,Audi,A3 4 Door Saloon,35 TDI 150 S Line S tronic 22,34130,60,
AUA3203SO4SDTA  2,AU018315,Audi,A3 4 Door Saloon,35 TDI 150 Sport S tronic 22,32230,59,
AUA3153SN4SPTA  2,AU018274,Audi,A3 4 Door Saloon,35 TFSI 150 S Line S tronic 22,32230,65,
AUA3153SO4SPTA  2,AU018275,Audi,A3 4 Door Saloon,35 TFSI 150 Sport S tronic 22,30330,64,
AUA3153SO4SPTM  2,AU018276,Audi,A3 4 Door Saloon,35 TFSI 150 Sport 22,28780,65,
AUA315ED34SPTM  2,AU018277,Audi,A3 4 Door Saloon,35 TFSI 150ps Edition 1 22,33930,65,
AUA3153SN4SPTM  2,AU018273,Audi,A3 4 Door Saloon,35 TFSI 150ps S Line 22,30680,66,
AUA3103LC4SPTA  2,AU018293,Audi,A3 4 Door Saloon,30 TFSI 110 S Line Comfort+Sound Pack S tronic 22,31860,65,
AUA3103SI4SPTA  2,AU018292,Audi,A3 4 Door Saloon,30 TFSI 110ps S Line S tronic 22,30665,66,
AUA3103LC4SPTM  2,AU018283,Audi,A3 4 Door Saloon,30 TFSI 110ps S Line Comfort+Sound Pack 22,30310,66,
AUA3103SC4SPTM  2,AU018285,Audi,A3 4 Door Saloon,30 TFSI 110ps Sport Comfort+Sound Pack 22,28410,65,
AUA3103SC4SPTA  2,AU018291,Audi,A3 4 Door Saloon,30 TFSI 110ps Sport Comfort+Sound Pack S tronic 22,29960,64,
AUA320ED34SDTA  2,AU018317,Audi,A3 4 Door Saloon,35 TDI 150 Edition 1 S tronic 22,37380,59,
AUA320EC34SDTA  2,AU018323,Audi,A3 4 Door Saloon,35 TDI 150 Edition 1 Comfort+Sound Pack S tronic 22,38375,59,
AUA3203NC4SDTA  2,AU018325,Audi,A3 4 Door Saloon,35 TDI 150 S Line Comfort+Sound Pack Strnc 22,35325,60,
AUA3203PO4SDTA  2,AU018324,Audi,A3 4 Door Saloon,35 TDI 150 Sport Comfort+Sound Pack Strnc 22,33425,59,
AUA315EC34SPTA  2,AU018288,Audi,A3 4 Door Saloon,35 TFSI 150 Edition 1 Comfort+Sound Pack S tronic 22,36325,65,
AUA3153NC4SPTA  2,AU018279,Audi,A3 4 Door Saloon,35 TFSI 150 S Line Comfort+Sound Pack S tronic 22,33425,65,
AUA3153PO4SPTA  2,AU018280,Audi,A3 4 Door Saloon,35 TFSI 150 Sport Comfort+Sound Pack S tronic 22,31525,64,
AUA3153PO4SPTM  2,AU018281,Audi,A3 4 Door Saloon,35 TFSI 150 Sport Comfort+Sound Pack 22,29975,65,
AUA315ED34SPTA  2,AU018287,Audi,A3 4 Door Saloon,35 TFSI 150ps Edition 1 Strnc 22,35330,65,
AUA315EC34SPTM  2,AU018282,Audi,A3 4 Door Saloon,35 TFSI 150ps Edition 1 Comfort+Sound Pack 22,34925,65,
AUA3153NC4SPTM  2,AU018278,Audi,A3 4 Door Saloon,35 TFSI 150ps S Line Comfort+Sound Pack 22,31875,66,
AUA3103LC5HPTM  5,AU017816,Audi,A3 5 Door Sportback,30 TFSI 110 S Line Cmfsd 22,29745,65,
AUA3103SI5HPTM  5,AU017813,Audi,A3 5 Door Sportback,30 TFSI 110 S Line 22,28550,68,
AUA3103SC5HPTM  5,AU017817,Audi,A3 5 Door Sportback,30 TFSI 110 Sport Cmfsd 22,27845,63,
AUA31030S5HPTM  5,AU017814,Audi,A3 5 Door Sportback,30 TFSI 110 Sport 22,26650,63,
AUA3103TC5HPTM  5,AU017815,Audi,A3 5 Door Sportback,30 TFSI 110 Technik Cmfsd 22,26445,62,
AUA31030T5HPTM  5,AU017812,Audi,A3 5 Door Sportback,30 TFSI 110 Technik 22,25250,62,
AUA3203SO5HDTA  5,AU017819,Audi,A3 5 Door Sportback,35 TDI 150 Sport S tronic 22,31665,58,
AUA315ED35HPTM  5,AU017836,Audi,A3 5 Door Sportback,35 TFSI 150 Edition 1 22,33365,64,
AUA3153SN5HPTM  5,AU017834,Audi,A3 5 Door Sportback,35 TFSI 150 S Line 22,30115,65,
AUA3153SO5HPTM  5,AU017835,Audi,A3 5 Door Sportback,35 TFSI 150 Sport 22,28215,63,
AUA31535T5HPTA  5,AU017840,Audi,A3 5 Door Sportback,35 TFSI Technik S tronic 22,28365,62,
AUA31535T5HPTM  5,AU017833,Audi,A3 5 Door Sportback,35 TFSI Technik 22,26815,62,
AUA3103SI5HPTA  5,AU017756,Audi,A3 5 Door Sportback,30 TFSI 110 S Line S tronic 22,30100,64,
AUA31030S5HPTA  5,AU017752,Audi,A3 5 Door Sportback,30 TFSI 110 Sport S tronic 22,28200,62,
AUA31030T5HPTA  5,AU017750,Audi,A3 5 Door Sportback,30 TFSI 110 Technik S tronic 22,26800,61,
AUA3103LC5HPTA  5,AU017757,Audi,A3 5 Door Sportback,30 TFSI S Line Cmfsd S tronic 22,31295,64,
AUA3103SC5HPTA  5,AU017753,Audi,A3 5 Door Sportback,30 TFSI Sport Cmfsd S tronic 22,29395,62,
AUA3103TC5HPTA  5,AU017751,Audi,A3 5 Door Sportback,30 TFSI Technik Cmfsd S tronic 22,27995,61,
AUA320ED35HDTA  5,AU017821,Audi,A3 5 Door Sportback,35 TDI 150 Edition 1 S tronic 22,36815,58,
AUA320EC35HDTA  5,AU017832,Audi,A3 5 Door Sportback,35 TDI 150 Edition 1 Cmfsd Str 22,37810,59,
AUA3203SN5HDTA  5,AU017820,Audi,A3 5 Door Sportback,35 TDI 150 S Line S tronic 22,33565,59,
AUA3203NC5HDTA  5,AU017831,Audi,A3 5 Door Sportback,35 TDI 150 S Line Comfort+Sound Pack S tronic 22,34760,59,
AUA3203PO5HDTA  5,AU017828,Audi,A3 5 Door Sportback,35 TDI 150 Sport Comfort+Sound Pack S tronic 22,32860,58,
AUA3205TC5HDTA  5,AU017827,Audi,A3 5 Door Sportback,35 TDI 150 Technik Comfort+Sound Pack S tronic 22,31460,57,
AUA32035T5HDTA  5,AU017818,Audi,A3 5 Door Sportback,35 TDI 150 Technik S tronic 22,30265,57,
AUA315ED35HPTA  5,AU017847,Audi,A3 5 Door Sportback,35 TFSI 150 Edition 1 S tronic 22,34765,63,
AUA315EC35HPTA  5,AU017848,Audi,A3 5 Door Sportback,35 TFSI 150 Edition 1 Cmfsd Str 22,35760,64,
AUA315EC35HPTM  5,AU017846,Audi,A3 5 Door Sportback,35 TFSI 150 Edition 1 Cmfsd 22,34360,64,
AUA3153NC5HPTM  5,AU017839,Audi,A3 5 Door Sportback,35 TFSI 150 S Line Comfort+Sound Pack 22,31310,65,
AUA3153SN5HPTA  5,AU017844,Audi,A3 5 Door Sportback,35 TFSI 150 S Line S tronic 22,31665,64,
AUA3153NC5HPTA  5,AU017845,Audi,A3 5 Door Sportback,35 TFSI 150 S Line Comfort+Sound Pack S tronic 22,32860,64,
AUA3153PO5HPTM  5,AU017838,Audi,A3 5 Door Sportback,35 TFSI 150 Sport Comfort+Sound Pack 22,29410,63,
AUA3153SO5HPTA  5,AU017842,Audi,A3 5 Door Sportback,35 TFSI 150 Sport S tronic 22,29765,63,
AUA3153PO5HPTA  5,AU017843,Audi,A3 5 Door Sportback,35 TFSI 150 Sport Comfort+Sound Pack S tronic 22,30960,63,
AUA3155TC5HPTA  5,AU017841,Audi,A3 5 Door Sportback,35 TFSI Technik Comfort+Sound Pack S tronic 22,29560,62,
AUA3155TC5HPTM  5,AU017837,Audi,A3 5 Door Sportback,35 TFSI Technik Comfort+Sound Pack 22,28010,62,
AUA3140SN5HXTA  5,AU017758,Audi,A3 5 Door Sportback,40 eTFSI 204 S Line S tronic 22,37085,59,
AUA3140SC5HXTA  5,AU017759,Audi,A3 5 Door Sportback,40 eTFSI 204 S Line Comfort+Sound Pack S tronic 22,38280,59,
AUA3144S75HXTA  5,AU017760,Audi,A3 5 Door Sportback,40 eTFSI 204 S Line S tronic 17in 22,37085,58,
AUA3144SO5HXTA  5,AU017754,Audi,A3 5 Door Sportback,40 eTFSI 204 Sport S tronic 22,35185,58,
AUA3144PC5HXTA  5,AU017755,Audi,A3 5 Door Sportback,40 eTFSI Sport Comfort+Sound Pack S tronic 22,36380,58,
AUA314SC75HXTA  5,AU017761,Audi,A3 5 Door Sportback,40eTFSI S Line Comfort+Sound Pack S tronic 17in 22,38280,58,
AUA314SC 5HXTA  5,AU017766,Audi,A3 5 Door Sportback,45 eTFSI 245 S Line Competition S tronic 22,38835,59,
AUA314SLO5HXTA  5,AU017778,Audi,A3 5 Door Sportback,45 eTFSI S Line Competition Cmfsd S tronic 22,40030,57,
AUA4203BL5EDTA  7,AU018547,Audi,A4 5 Door Avant,35 TDI 163 Black Edition S tronic 22,41710,69,
AUA4203BO5EDTA  7,AU018548,Audi,A4 5 Door Avant,35 TDI 163 Blk Edn Cmf/Sd  Strc 22,43105,69,
AUA4203NC5EDTA  7,AU018555,Audi,A4 5 Door Avant,35 TDI 163 S Line Comfort+Sound Pack S tronic 22,42105,65,
AUA4203SN5EDTA  7,AU018556,Audi,A4 5 Door Avant,35 TDI 163ps S Line S tronic 22,40710,65,
AUA42035S5EDTA  7,AU018526,Audi,A4 5 Door Avant,35 TDI 163ps Sport Edition S tronic 22,40505,64,
AUA42035P5EDTA  7,AU018527,Audi,A4 5 Door Avant,35 TDI 163ps Spt ED Cmf/Sd Strc 22,41900,64,
AUA4205TC5EDTA  7,AU018553,Audi,A4 5 Door Avant,35 TDI 163ps Technik Comfort+Sound Pack S tronic 22,39355,64,
AUA42035T5EDTA  7,AU018554,Audi,A4 5 Door Avant,35 TDI 163ps Technik S tronic 22,37960,63,
AUA420BLK5EPTA  7,AU018531,Audi,A4 5 Door Avant,35 TFSI 150 Black Edition S tronic 22,38830,71,
AUA420BCS5EPTA  7,AU018530,Audi,A4 5 Door Avant,35 TFSI 150 Blk Edn Cmf/Sd Strc 22,40225,70,
AUA420SLC5EPTA  7,AU018539,Audi,A4 5 Door Avant,35 TFSI 150 S Line Comfort+Sound Pack S tronic 22,39225,66,
AUA4200SE5EPTA  7,AU018520,Audi,A4 5 Door Avant,35 TFSI 150 Sport Edition S tronic 22,37625,66,
AUA420SRC5EPTA  7,AU018521,Audi,A4 5 Door Avant,35 TFSI 150 Spt Edn Cmf/Sd Strc 22,39020,67,
AUA420TES5EPTA  7,AU018538,Audi,A4 5 Door Avant,35 TFSI 150 Technik Comfort+Sound Pack S tronic 22,36475,64,
AUA420TEK5EPTA  7,AU018535,Audi,A4 5 Door Avant,35 TFSI 150 Technik S tronic 22,35080,64,
AUA420SL 5EPTA  7,AU018540,Audi,A4 5 Door Avant,35 TFSI 150ps S Line S tronic 22,37830,66,
AUA420BEC5EDTA4 7,AU018514,Audi,A4 5 Door Avant,40 TDI Qtr B/Ed Cmf/Sd S tronic 22,45150,67,
AUA42020S5EDTA4 7,AU018528,Audi,A4 5 Door Avant,40 TDI Quattro 204 Sport Edition S tronic 22,42550,63,
AUA420BL45EDTA4 7,AU018513,Audi,A4 5 Door Avant,40 TDI Quattro 204 Black Edition S tronic 22,43755,67,
AUA420S0C5EDTA4 7,AU018508,Audi,A4 5 Door Avant,40 TDI Quattro S Line Comfort+Sound Pack S tronic 22,44150,63,
AUA4204S45EDTA4 7,AU018507,Audi,A4 5 Door Avant,40 TDI Quattro 204 S Line S tronic 22,42755,63,
AUA420BL45EPTA  7,AU018509,Audi,A4 5 Door Avant,40 TFSI 204 Black Edition S tronic 22,40440,69,
AUA420BEC5EPTA  7,AU018510,Audi,A4 5 Door Avant,40 TFSI 204 Blk Edn Cmf/Sd Strc 22,41835,69,
AUA420S0C5EPTA  7,AU018504,Audi,A4 5 Door Avant,40 TFSI 204 S Line Comfort+Sound Pack S tronic 22,40835,65,
AUA42020S5EPTA  7,AU018522,Audi,A4 5 Door Avant,40 TFSI 204 Sport Edition S tronic 22,39235,66,
AUA42021S5EPTA  7,AU018523,Audi,A4 5 Door Avant,40 TFSI 204 Spt Edn Cmf/Sd Strc 22,40630,65,
AUA4204S45EPTA  7,AU018503,Audi,A4 5 Door Avant,40 TFSI 204ps S Line S tronic 22,39440,66,
AUA42021S5EDTA4 7,AU018529,Audi,A4 5 Door Avant,40TDI Qtr 204 Spt ED Cmf/Sd S/T 22,43945,64,
AUA4203BO4SDTA  7,AU018222,Audi,A4 4 Door Saloon,Sal 35 TDI 163 Blk Edtn Cmf/Sd Strc 22,41705,69,
AUA4203NC4SDTA  7,AU018219,Audi,A4 4 Door Saloon,35 TDI 163 S Line Comfort+Sound Pack S tronic 22,40705,65,
AUA42035P4SDTA  7,AU018199,Audi,A4 4 Door Saloon,Sal 35 TDI 163 Sport Edn Cmf/Sd Strc 22,40500,64,
AUA4205TC4SDTA  7,AU018225,Audi,A4 4 Door Saloon,35 TDI 163 Technik Comfort+Sound Pack S tronic 22,37955,63,
AUA420BCS4SPTA  7,AU018213,Audi,A4 4 Door Saloon,Sal 35 TFSI 150 Blk Edtn Cmf/Sd Strc 22,38825,71,
AUA420SLC4SPTA  7,AU018211,Audi,A4 4 Door Saloon,35 TFSI 150 S Line Comfort+Sound Pack S tronic 22,37825,66,
AUA420SRC4SPTA  7,AU018193,Audi,A4 4 Door Saloon,Sal 35 TFSI 150 Spt Edn Cmf/Sd S trc 22,37620,66,
AUA420TES4SPTA  7,AU018207,Audi,A4 4 Door Saloon,35 TFSI 150 Technik Comfort+Sound Pack S tronic 22,35075,63,
AUA420BEC4SDTA4 7,AU018177,Audi,A4 4 Door Saloon,Sal 40 TDI 204 Qtr B/Ed Cmf/Sd Strc 22,43750,67,
AUA420BL44SDTA4 7,AU018186,Audi,A4 4 Door Saloon,40 TDI 204 Quattro Black Edition S tronic 22,42355,67,
AUA420S0C4SDTA4 7,AU018187,Audi,A4 4 Door Saloon,Sal 40 TDI 204 Qtr S Line Cmf/Sd Strc 22,42750,63,
AUA42021S4SDTA4 7,AU018201,Audi,A4 4 Door Saloon,Sal 40 TDI 204 Qtr Spt Edn Cmf/Sd S/T 22,42545,63,
AUA42020S4SDTA4 7,AU018200,Audi,A4 4 Door Saloon,40 TDI 204 Quattro Sport Edition S tronic 22,41150,63,
AUA420BEC4SPTA  7,AU018175,Audi,A4 4 Door Saloon,Sal 40 TFSI 204 Blk Edtn Cmf/Sd Strc 22,40435,69,
AUA420S0C4SPTA  7,AU018189,Audi,A4 4 Door Saloon,40 TFSI 204 S Line Comfort+Sound Pack S tronic 22,39435,66,
AUA42021S4SPTA  7,AU018195,Audi,A4 4 Door Saloon,Sal 40 TFSI 204 Spt Edn Cmf/Sd S trc 22,39230,66,
AUA4203BL4SDTA  7,AU018221,Audi,A4 4 Door Saloon,35 TDI 163 Black Edition S tronic 22,40310,69,
AUA4203SN4SDTA  7,AU018220,Audi,A4 4 Door Saloon,35 TDI 163 S Line S tronic 22,39310,66,
AUA42035S4SDTA  7,AU018198,Audi,A4 4 Door Saloon,35 TDI 163 Sport Edition S tronic 22,39105,65,
AUA42035T4SDTA  7,AU018226,Audi,A4 4 Door Saloon,35 TDI 163 Technik S tronic 22,36560,63,
AUA420BLK4SPTA  7,AU018205,Audi,A4 4 Door Saloon,35 TFSI 150 Black Edition S tronic 22,37430,71,
AUA420SL 4SPTA  7,AU018203,Audi,A4 4 Door Saloon,35 TFSI 150 S Line S tronic 22,36430,65,
AUA4200SE4SPTA  7,AU018192,Audi,A4 4 Door Saloon,35 TFSI 150 Sport Edition S tronic 22,36225,66,
AUA420TEK4SPTA  7,AU018209,Audi,A4 4 Door Saloon,35 TFSI 150 Technik S tronic 22,33680,63,
AUA4204S44SDTA4 7,AU018183,Audi,A4 4 Door Saloon,40 TDI 204 Quattro S Line S tronic 22,41355,63,
AUA420BL44SPTA  7,AU018182,Audi,A4 4 Door Saloon,40 TFSI 204 Black Edition S tronic 22,39040,71,
AUA4204S44SPTA  7,AU018181,Audi,A4 4 Door Saloon,40 TFSI 204 S Line S tronic 22,38040,65,
AUA42020S4SPTA  7,AU018194,Audi,A4 4 Door Saloon,40 TFSI 204 Sport Edition S tronic 22,37835,66,
AUA520ED32VPTA  3,AU018446,Audi,A5 Cabriolet,35 TFSI 150ps Edition 1 S tronic 22,49100,61,
AUA5203SN2VPTA  3,AU018440,Audi,A5 Cabriolet,35 TFSI 150ps S Line S tronic 22,45850,60,
AUA5203SO2VPTA  3,AU018434,Audi,A5 Cabriolet,35 TFSI 150ps Sport S tronic 22,43550,59,
AUA5204E22VPTA  3,AU018448,Audi,A5 Cabriolet,40 TFSI 204ps Edition 1 S tronic 22,50505,60,
AUA5204S42VPTA  3,AU018458,Audi,A5 Cabriolet,40 TFSI 204ps S Line S tronic 22,47255,60,
AUA5203NC2VPTA  3,AU018441,Audi,A5 Cabriolet,35 TFSI 150 S Line Comfort+Sound Pack S tronic 22,47245,60,
AUA5203PO2VPTA  3,AU018435,Audi,A5 Cabriolet,35 TFSI 150 Sport Comfort+Sound Pack S tronic 22,44945,59,
AUA520EC32VPTA  3,AU018447,Audi,A5 Cabriolet,Cbr 35 TFSI 150ps Edn 1 Cmf/Sd Strc 22,50495,61,
AUA520E1S2VDTA4 3,AU018453,Audi,A5 Cabriolet,Cbr 40 TDI 204 Qtr Edtn 1 Cmf/Sd Strc 22,55525,56,
AUA520S0C2VDTA4 3,AU018445,Audi,A5 Cabriolet,Cbr 40 TDI 204 Qtr S Line Cmf/Sd Strc 22,52275,55,
AUA5204E22VDTA4 3,AU018452,Audi,A5 Cabriolet,40 TDI 204ps Quattro Edition 1 S tronic 22,54130,56,
AUA5204S42VDTA4 3,AU018444,Audi,A5 Cabriolet,40 TDI 204ps Quattro S Line S tronic 22,50880,55,
AUA520E1S2VPTA  3,AU018449,Audi,A5 Cabriolet,40 TFSI 204 Edition 1 Comfort+Sound Pack S tronic 22,51900,61,
AUA520S0C2VPTA  3,AU018459,Audi,A5 Cabriolet,40 TFSI 204 S Line Comfort+Sound Pack S tronic 22,48650,60,
AUA520E1C2VPTA4 3,AU018451,Audi,A5 Cabriolet,Cbr 45 TFSI 265 Qtr Edn 1 Cmf/Sd Strc 22,58770,57,
AUA520S6C2VPTA4 3,AU018443,Audi,A5 Cabriolet,Cbr 45 TFSI 265 Qtr Sln Cmf/Sd Strc 22,55520,56,
AUA5204E52VPTA4 3,AU018450,Audi,A5 Cabriolet,45 TFSI 265ps Quattro Edition 1 S tronic 22,57375,57,
AUA520S652VPTA4 3,AU018442,Audi,A5 Cabriolet,45 TFSI 265ps Quattro S Line S tronic 22,54125,56,
AUA5203BL2CDTA  3,AU018617,Audi,A5 Coupe,35 TDI 163 Black Edtion S tronic 22,45125,60,
AUA520SL 2CDTA  3,AU018170,Audi,A5 Coupe,35 TDI 163 S Line S tronic 22,44125,57,
AUA520SPO2CDTA  3,AU018171,Audi,A5 Coupe,35 TDI 163ps Sport S tronic 22,42125,56,
AUA5203BL2CPTA  3,AU018611,Audi,A5 Coupe,35 TFSI 150ps Black Edition S tronic 22,42760,65,
AUA5203SN2CPTA  3,AU018165,Audi,A5 Coupe,35 TFSI 150ps S Line S tronic 22,41760,64,
AUA5203SO2CPTA  3,AU018167,Audi,A5 Coupe,35 TFSI 150ps Sport S Tronic 22,39760,63,
AUA5204S42CDTA4 3,AU018153,Audi,A5 Coupe,40 TDI 204ps Quattro S Line S tronic 22,46790,58,
AUA5204BL2CPTA  3,AU018613,Audi,A5 Coupe,40 TFSI 204 Black Edition S tronic 22,44165,65,
AUA5204S42CPTA  3,AU018156,Audi,A5 Coupe,40 TFSI 204 S Line S tronic 22,43165,63,
AUA5203BO2CDTA  3,AU018618,Audi,A5 Coupe,Cpe 35 TDI 163 Black Edtn Cmf/Sd Strc 22,46520,60,
AUA5203NC2CDTA  3,AU018173,Audi,A5 Coupe,35 TDI 163 S Line Comfort+Sound Pack S tronic 22,45520,58,
AUA5203PO2CDTA  3,AU018174,Audi,A5 Coupe,35 TDI 163ps Sport Comfort+Sound Pack S tronic 22,43520,56,
AUA5203PO2CPTA  3,AU018166,Audi,A5 Coupe,35 TFSI 150 Sport Comfort+Sound Pack S tronic 22,41155,62,
AUA5203BO2CPTA  3,AU018612,Audi,A5 Coupe,35 TFSI 150ps Bk/Edn Comfort+Sound Pack S tronic 22,44155,65,
AUA5203NC2CPTA  3,AU018164,Audi,A5 Coupe,35 TFSI 150ps S Line Comfort+Sound Pack S tronic 22,43155,62,
AUA5204BS2CDTA4 3,AU018620,Audi,A5 Coupe,Cpe 40 TDI 204 Qtr Bk/Edn Cmf/Sd Strc 22,49185,59,
AUA520S0C2CDTA4 3,AU018161,Audi,A5 Coupe,Cpe 40 TDI 204 Qtr S Line Cmf/Sd Strc 22,48185,58,
AUA5204BL2CDTA4 3,AU018619,Audi,A5 Coupe,40 TDI 204ps Quattro Black Edition S tronic 22,47790,59,
AUA5204BS2CPTA  3,AU018614,Audi,A5 Coupe,40 TFSI 204 Bk/Edn Comfort+Sound Pack S tronic 22,45560,65,
AUA520S0C2CPTA  3,AU018163,Audi,A5 Coupe,40 TFSI 204 S Line Comfort+Sound Pack S tronic 22,44560,64,
AUA5204BC2CPTA4 3,AU018616,Audi,A5 Coupe,Cpe 45 TFSI 265 Qtr B/Ed Cmf/Sd S trc 22,52430,60,
AUA520S6C2CPTA4 3,AU018169,Audi,A5 Coupe,Cpe 45 TFSI 265 Qtr S LN Cmf/Sd S trc 22,51430,57,
AUA52045B2CPTA4 3,AU018615,Audi,A5 Coupe,45 TFSI 265ps Quattro Bk/Edn S tronic 22,51035,59,
AUA520S652CPTA4 3,AU018158,Audi,A5 Coupe,45 TFSI 265ps Quattro S Line S tronic 22,50035,58,
AUA5203BL5HDTA  3,AU018641,Audi,A5 Sportback,35 TDI 163 Black Edtion S trnic 22,45125,63,
AUA5203NC5HDTA  3,AU018112,Audi,A5 Sportback,35 TDI 163 S Line Cms S tronic 22,45520,61,
AUA5203SN5HDTA  3,AU018108,Audi,A5 Sportback,35 TDI 163ps S Line S tronic 22,44125,61,
AUA5203PO5HDTA  3,AU018111,Audi,A5 Sportback,35 TDI 163ps Sport Cms S tronic 22,43520,59,
