capcode,IDS ID,make,model,deriv,P11D,Rentals in P11D,  
MECC15LMA4SPTA  7,ME026353,Mercedes,C-Class Saloon,C200 1.5 AMG Line Auto 22,40964.99,65,
MECC15LAP4SPTA  7,ME026361,Mercedes,C-Class Saloon,C200 1.5 AMG Line Premium Auto 22,43714.99,63,
MECC15SPO4SPTA  7,ME026350,Mercedes,C-Class Saloon,C200 1.5 Sport Auto 22,39584.99,64,
MECC20ALE2BDTA  1,ME026486,Mercedes,C-Class Cabriolet,C220d 2.0 AMG Line Edition Auto 22A,47335,50,
MECC20ADP2BDTA  1,ME026487,Mercedes,C-Class Cabriolet,C220d 2.0 AMG Line Edition Premium Auto 22A,50330,50,
MECC20PPN2BDTA  1,ME026488,Mercedes,C-Class Cabriolet,C220d 2.0 AMG Line Night Edition Premium Plus Auto 22A,51925,50,
MECC20ALE2CDTA  2,ME026474,Mercedes,C-Class Coupe,C220d 2.0 AMG Line Edition Auto 22A,43760,52,
MECC20ADP2CDTA  2,ME026475,Mercedes,C-Class Coupe,C220d 2.0 AMG Line Edition Premium Auto 22A,46755.01,52,
MECC20PPN2CDTA  2,ME026476,Mercedes,C-Class Coupe,C220d 2.0 AMG Line Night Edition Premium Plus Auto 22A,49750.01,51,
MECC20PLL5EDTA  7,ME026380,Mercedes,C-Class Estate,C220d 2.0 AMG Line Premium Plus Auto 22,49504.99,61,
MECC20LMA5EDTA  7,ME026372,Mercedes,C-Class Estate,C220d 2.0 AMG Line Auto 22,43305,65,
MECC20LAP5EDTA  7,ME026379,Mercedes,C-Class Estate,C220d 2.0 AMG Line Premium Auto 22,46054.99,64,
MECC20SPO5EDTA  7,ME026373,Mercedes,C-Class Estate,C220d 2.0 Sport Auto 22,41925,63,
MECC20PLL4SDTA  7,ME026360,Mercedes,C-Class Saloon,C220d 2.0 AMG Line Premium Plus Auto 22,49204.99,60,
MECC20LMA4SDTA  7,ME026352,Mercedes,C-Class Saloon,C220d 2.0 AMG Line Auto 22,43004.99,63,
MECC20LAP4SDTA  7,ME026359,Mercedes,C-Class Saloon,C220d 2.0 AMG Line Premium Auto 22,45754.99,62,
MECC20SPO4SDTA  7,ME026354,Mercedes,C-Class Saloon,C220d 2.0 Sport Auto 22,41624.99,61,
MECC20ADP2BPTA  1,ME026496,Mercedes,C-Class Cabriolet,C300 2.0 Mhev AMG Line Edition Premium Auto 22A,50580,52,
MECC20PPN2BPTA  1,ME026497,Mercedes,C-Class Cabriolet,C300 Cbr 2.0 Mhev AMG Line Nt/Ed Prm+ AU 22A,52175,52,
MECC20ADP2CPTA  2,ME026484,Mercedes,C-Class Coupe,C300 2.0 Mhev AMG Line Edition Premium Auto 22A,47005,55,
MECC20PPN2CPTA  2,ME026485,Mercedes,C-Class Coupe,C300 Cpe 2.0 Mhev AMG Lne Nt/Ed Prm+ AU 22A,50000,53,
MECC20PLL5EPTA  7,ME026962,Mercedes,C-Class Estate,C300 2.0 AMG Line Premium Plus Auto 22,50464.99,61,
MECC20LMA5EPTA  7,ME026960,Mercedes,C-Class Estate,C300 2.0 AMG Line Auto 22,44265,64,
MECC20LAP5EPTA  7,ME026961,Mercedes,C-Class Estate,C300 2.0 AMG Line Premium Auto 22,47014.99,63,
MECC20PLL4SPTA  7,ME026357,Mercedes,C-Class Saloon,C300 2.0 AMG Line Premium Plus Auto 22,50164.99,59,
MECC20LMA4SPTA  7,ME026351,Mercedes,C-Class Saloon,C300 2.0 AMG Line Auto 22,43964.99,62,
MECC20LAP4SPTA  7,ME026356,Mercedes,C-Class Saloon,C300 2.0 AMG Line Premium Auto 22,46714.99,62,
MECC20L3E2BDTA  1,ME026489,Mercedes,C-Class Cabriolet,C300d 2.0 AMG Line Edition Premium Auto 22A,51385,51,
MECC203NL2BDTA  1,ME026490,Mercedes,C-Class Cabriolet,C300d 2.0 AMG Line Night Edition Premium Plus Auto 22A,52980,51,
MECC20L3E2CDTA4 2,ME026477,Mercedes,C-Class Coupe,C300d 2.0 AMG Line Edition Premium Auto 4Matic 22A,49410,53,
MECC203NL2CDTA4 2,ME026478,Mercedes,C-Class Coupe,C300d Cpe 2.0 AMG Line Nt/Ed Prm+ AU 4MC 22A,52405.01,51,
MECC20AP35EDTA  7,ME026368,Mercedes,C-Class Estate,C300d 2.0 AMG Line Premium Plus Auto 22,53224.99,60,
MECC203AI5EDTA  7,ME026367,Mercedes,C-Class Estate,C300d 2.0 AMG Line Auto 22,47025,63,
MECC203AU5EDTA  7,ME026377,Mercedes,C-Class Estate,C300d 2.0 AMG Line Premium Auto 22,49774.99,62,
MECC20AP34SDTA  7,ME026355,Mercedes,C-Class Saloon,C300d 2.0 AMG Line Premium Plus Auto 22,52924.99,59,
MECC203AI4SDTA  7,ME026349,Mercedes,C-Class Saloon,C300d 2.0 AMG Line Auto 22,46724.99,61,
MECC203AU4SDTA  7,ME026358,Mercedes,C-Class Saloon,C300d 2.0 AMG Line Premium Auto 22,49474.99,61,
MECC20PLL5EXTA  7,ME026965,Mercedes,C-Class Estate,C300e 2.0 AMG Line Premium Plus Auto 22,53104.99,56,
MECC20LMA5EXTA  7,ME026963,Mercedes,C-Class Estate,C300e 2.0 AMG Line Auto 22,46904.99,59,
MECC20LAP5EXTA  7,ME026964,Mercedes,C-Class Estate,C300e 2.0 AMG Line Premium Auto 22,49654.99,58,
MECC20PLL4SXTA  7,ME026977,Mercedes,C-Class Saloon,C300e 2.0 AMG Line Premium Plus Auto 22,52455,55,
MECC20LMA4SXTA  7,ME026975,Mercedes,C-Class Saloon,C300e 2.0 AMG Line Auto 22,46255,58,
MECC20LAP4SXTA  7,ME026976,Mercedes,C-Class Saloon,C300e 2.0 AMG Line Premium Auto 22,49005,58,
MECC303EP2BPTA4 1,ME026491,Mercedes,C-Class Cabriolet,C43 3.0 AMG Edition Premium Auto 4MATIC 22A,61505,51,
MECC30CNP2BPTA4 1,ME026492,Mercedes,C-Class Cabriolet,C43 Cbr 3.0 AMG Line Nt/Ed Prm+ AU 4MC 22A,63100.01,51,
MECC303EP2CPTA4 2,ME026479,Mercedes,C-Class Coupe,C43 3.0 AMG Edition Premium Auto 4Matic 22A,57930,54,
MECC30CNP2CPTA4 2,ME026480,Mercedes,C-Class Coupe,C43 3.0 AMG Night Edition Premium Plus Auto 4Matic 22A,60925.01,53,
MECC4063N2BPTA  1,ME026493,Mercedes,C-Class Cabriolet,C63 4.0 AMG S Night Edition Premium Plus Auto 22A,87565,49,
MECC4063N2CPTA  2,ME026481,Mercedes,C-Class Coupe,C63 4.0 AMG S Night Edition Premium Plus Auto 22A,85060,50,
MECA138AL4SPTA  2,ME026629,Mercedes,CLA-CLASS Coupe,CLA 180 1.3 136hp AMG Line Auto 22A,32134.99,63,
MECA138AP4SPTA  2,ME026630,Mercedes,CLA-CLASS Coupe,CLA 180 1.3 136hp AMG Line Premium Auto 22A,33634.99,64,
MECA138PP4SPTA  2,ME026631,Mercedes,CLA-CLASS Coupe,CLA 180 1.3 136hp AMG Line Premium Plus Auto 22A,35134.99,62,
MECA138PP5EPTA  2,ME026649,Mercedes,CLA-CLASS Shooting Brake,CLA 180 1.3 136 AMG Line Premium Plus Auto 22A,36135,62,
MECA138AL5EPTA  2,ME026647,Mercedes,CLA-CLASS Shooting Brake,CLA 180 1.3 136hp AMG Line Auto 22A,33135,63,
MECA138AP5EPTA  2,ME026648,Mercedes,CLA-CLASS Shooting Brake,CLA 180 1.3 136hp AMG Line Premium Auto 22A,34635,64,
MECA132OA4SPTA  2,ME026632,Mercedes,CLA-CLASS Coupe,CLA 200 1.3 163hp AMG Line Auto 22A,33685,61,
MECA132OM4SPTA  2,ME026633,Mercedes,CLA-CLASS Coupe,CLA 200 1.3 163hp AMG Line Premium Auto 22A,35185,62,
MECA132OG4SPTA  2,ME026634,Mercedes,CLA-CLASS Coupe,CLA 200 1.3 163hp AMG Line Premium Plus Auto 22A,36685,60,
MECA132OG5EPTA  2,ME026652,Mercedes,CLA-CLASS Shooting Brake,CLA 200 1.3 163 AMG Line Premium Plus Auto 22A,37685,60,
MECA132OA5EPTA  2,ME026650,Mercedes,CLA-CLASS Shooting Brake,CLA 200 1.3 163hp AMG Line Auto 22A,34684.99,61,
MECA132OM5EPTA  2,ME026651,Mercedes,CLA-CLASS Shooting Brake,CLA 200 1.3 163hp AMG Line Premium Auto 22A,36185,62,
MECA2022L4SDTA  2,ME026638,Mercedes,CLA-CLASS Coupe,CLA 220d 2.0 190 AMG Line Auto 22A,36334.99,59,
MECA202PP4SDTA  2,ME026640,Mercedes,CLA-CLASS Coupe,CLA 220d 2.0 190 AMG Line Premium Plus Auto 22A,39334.99,58,
MECA202LP4SDTA  2,ME026639,Mercedes,CLA-CLASS Coupe,CLA 220d 2.0 190 AMG Line Prmum Auto 22A,37834.99,60,
MECA202LP5EDTA  2,ME026657,Mercedes,CLA-CLASS Shooting Brake,CLA 220d 2.0 190 AMG Line Premium Auto 22A,38835,60,
MECA2022L5EDTA  2,ME026656,Mercedes,CLA-CLASS Shooting Brake,CLA 220d 2.0 190hp AMG Line Auto 22A,37335,59,
MECA202PP5EDTA  2,ME026658,Mercedes,CLA-CLASS Shooting Brake,CLA 220d 2.0 AMG Line Premium Plus Auto 22A,40335,57,
MECA2025A4SPTA  2,ME026644,Mercedes,CLA-CLASS Coupe,CLA 250 2.0 224hp AMG Line Auto 22A,35185,60,
MECA2025M4SPTA  2,ME026645,Mercedes,CLA-CLASS Coupe,CLA 250 2.0 224hp AMG Line Premium Auto 22A,36685,61,
MECA2025G4SPTA  2,ME026646,Mercedes,CLA-CLASS Coupe,CLA 250 2.0 224hp AMG Line Premium Plus Auto 22A,38185,59,
MECA2025G5EPTA  2,ME026664,Mercedes,CLA-CLASS Shooting Brake,CLA 250 2.0 224 AMG Line Premium Plus Auto 22A,39185,59,
MECA2025A5EPTA  2,ME026662,Mercedes,CLA-CLASS Shooting Brake,CLA 250 2.0 224hp AMG Line Auto 22A,36184.99,60,
