Variant,CAP Code,Make,Model,Variant Full Description,Model Year,Doors,Fuel,Body,Seats,Gearbox,Gears,BHP,Eng CC,CO2,Com-bined MPG,Vehicle List Price,Vehicle List Price Including Metallic Paint,Vehicle Total Disc, Vehicle OTR Price,VRB,P11D Price,POL,Mileage,Finance Rental,Service Rental,Net Rental,Dis-allowed VAT,Total inc Disallow VAT,Excess Rate,POL,Mileage,Finance Rental,Service Rental,Net Rental,Dis-allowed VAT,Total inc Disallow VAT,Excess Rate,Electric Range,Battery Capacity,RDE2
100042,DADU13ESE5EPTM  4,Dacia,Duster,Dacia Duster Estate Special Edition 1.3 TCe 130 Extreme SE 5Dr,2022,5,Petrol,Estate,5,Manual,6,130,1332,141,45.6,15262.5,15262.5,0,19314,0,18910,24,20000,352.7,0,352.69,35.27,387.96,7.55,24,30000,370.09,0,370.08,37.01,407.09,7.55,0,0, 
100043,DADU13ESE5EPTA  4,Dacia,Duster,Dacia Duster Estate Special Edition 1.3 TCe 150 Extreme SE 5Dr EDC,2022,5,Petrol,Estate,5,Semi-auto,6,150,1332,142,44.8,16929.17,16929.17,0,21314,0,20910,24,20000,396.73,0,396.72,39.67,436.39,7.7,24,30000,415.86,0,415.85,41.59,457.44,7.7,0,0, 
100044,DADU15ESE5EDTM  4,Dacia,Duster,Dacia Duster Estate Special Edition 1.5 Blue dCi Extreme SE 5Dr,2022,5,Diesel,Estate,5,Manual,6,115,1461,127,57.6,15712.5,15712.5,0,19814,0,19450,24,20000,329.57,0,329.57,32.96,362.53,7.7,24,30000,348.2,0,348.2,34.82,383.02,8.05,0,0,RDE 2
100045,DADU15ESE5EDTM4 4,Dacia,Duster,Dacia Duster Estate Special Edition 1.5 Blue dCi Extreme SE 5Dr 4X4,2022,5,Diesel,Estate,5,Manual,6,115,1461,139,53.3,17595.83,17595.83,0,22114,0,21709.99,24,20000,403.72,0,403.72,40.37,444.09,8.05,24,30000,423.74,0,423.73,42.37,466.1,8.4,0,0,RDE 2
100046,PS2 009SM5HE A,Polestar,2,Polestar 2 Fastback 170kW 69kWh Standard Range Single Motor 5Dr Auto,2022,5,Electric,Hatchback,5,Auto,1,231,1,0,0,34083.33,34083.33,681.66,41081.99,0,41845,24,20000,563.79,0,563.79,56.38,620.17,13.3,24,30000,594.25,0,594.25,59.43,653.68,15.05,273,69, 
100047,PS2 009SP5HE A,Polestar,2,Polestar 2 Fastback 170kW 69kWh Standard Range SM [pilot] 5Dr Auto,2022,5,Electric,Hatchback,5,Auto,1,231,1,0,0,35875,35875,717.5,43189,0,43995,24,20000,603.67,0,603.67,60.37,664.04,13.65,24,30000,634.92,0,634.92,63.49,698.41,15.75,273,69, 
100048,PS2 009SL5HE A,Polestar,2,Polestar 2 Fastback 170kW 69kWh Standard Range SM [plus] 5Dr Auto,2022,5,Electric,Hatchback,5,Auto,1,231,1,0,0,37416.67,37416.67,748.33,45002,0,45845,24,20000,644.83,0,644.84,64.48,709.32,14.35,24,30000,677.69,0,677.7,67.77,745.47,15.75,273,69, 
100049,BM8S30MS 2CPTA  2,BMW,8 Series,BMW 8 Series Coupe 840i M Sport 2Dr Auto,2022,2,Petrol,Coupe,4,Semi-auto,8,333,2998,191,33.6,64291.67,64291.67,0,79450,0,78000,24,20000,1747.3,0,1747.3,174.73,1922.03,26.95,24,30000,1814.23,0,1814.24,181.42,1995.66,26.95,0,0, 
100050,BM8S30MSU2CPTA  2,BMW,8 Series,BMW 8 Series Coupe 840i M Sport 2Dr Auto [ultimate Pack],2022,2,Petrol,Coupe,4,Semi-auto,8,333,2998,191,33.6,79291.67,79291.67,0,97450,0,96000,24,20000,2233.16,0,2233.16,223.32,2456.48,30.8,24,30000,2309.68,0,2309.68,230.97,2540.65,30.45,0,0, 
100053,BM8S30MS 2VPTA  1,BMW,8 Series,BMW 8 Series Convertible 840i M Sport 2Dr Auto,2022,2,Petrol,Convertible,4,Semi-auto,8,333,2998,195,33.2,70125,70125,0,86450,0,85000,24,20000,1976.2,0,1976.2,197.62,2173.82,27.3,24,30000,2044.01,0,2044.01,204.4,2248.41,27.65,0,0, 
100054,BM8S30MSU2VPTA  1,BMW,8 Series,BMW 8 Series Convertible 840i M Sport 2Dr Auto [ultimate Pack],2022,2,Petrol,Convertible,4,Semi-auto,8,333,2998,196,33.2,82625,82625,0,101450,0,100000,24,20000,2353.41,0,2353.41,235.34,2588.75,31.5,24,30000,2431.66,0,2431.66,243.17,2674.83,31.15,0,0, 
100057,BM8S30MS 4SPTA  1,BMW,8 Series,BMW 8 Series Gran Coupe 840i M Sport 4Dr Auto,2022,4,Petrol,Saloon,5,Semi-auto,8,333,2998,195,33.2,62208.33,62208.33,0,76950,0,75499.99,24,20000,1575.74,0,1575.74,157.57,1733.31,29.05,24,30000,1647.92,0,1647.92,164.79,1812.71,29.05,0,0, 
100058,BM8S30MSU4SPTA  1,BMW,8 Series,BMW 8 Series Gran Coupe 840i M Sport 4Dr Auto [ultimate Pack],2022,4,Petrol,Saloon,5,Semi-auto,8,333,2998,196,33.2,78041.67,78041.67,0,95950,0,94500,24,20000,2097.55,0,2097.55,209.76,2307.31,32.55,24,30000,2178.41,0,2178.41,217.84,2396.25,32.9,0,0, 
100067,POTS0037 5EE A,Porsche,Taycan,Porsche Taycan Sport Turismo 300kW 79kWh 5Dr RWD Auto,2022,5,Electric,Estate,4,Auto,2,408,1,0,0,62500,62500,0,75055,0,75000,24,20000,1128.19,0,1128.18,112.82,1241,36.05,24,30000,1210.74,0,1210.73,121.07,1331.8,36.05,222,79.2, 
100068,POTS003795EE A,Porsche,Taycan,Porsche Taycan Sport Turismo 300kW 79kWh 5Dr RWD Auto [5 Seat],2022,5,Electric,Estate,5,Auto,2,408,1,0,0,62780,62780,0,75391,0,75336,24,20000,1129.11,0,1129.1,112.91,1242.01,36.4,24,30000,1212.45,0,1212.45,121.25,1333.7,36.4,222,79.2, 
