Cap Code,Manufacturer,Model Name,Variant,Basic List,Ex Works,Registration Fee,RFL 1 Year,Discount,Dealer,Additional,Gov Grant,OTR,CapType,RFL,OTR
TOCO20EXJ5EHIA  8   ,TOYOTA,COROLLA,2.0 VVT-i Hybrid Excel 5dr CVT [JBL],27178.33,605,55,105,17,0,0,0,27955.61,CAR,180,28030.61
MEGE307PR5EDTA4 1   ,MERCEDES-BENZ,GLE,GLE 400d 4Matic AMG Line Prem 5dr 9G-Tronic [7 St],59395.83,670.83,55,895,8,0,0,0,67327.99,CAR,1420,67852.99
MNCC15SPC6EPTA  3   ,MINI,CLUBMAN,1.5 Cooper Sport 6dr Auto [Comfort Pack],24004.17,437.5,55,180,3,0,0,0,28700.85,CAR,230,28750.85
SMFC00ENS2CE A  2   ,SMART,FORTWO COUPE,60kW EQ Edition Nightsky 17kWh 2dr Auto [22kwCh],20533.33,250,55,0,8,0,0,0,23023.79,CAR,0,23023.79
SMFC00PP22CE A  2   ,SMART,FORTWO COUPE,60kW EQ Prime Prem Plus 17kWh 2dr Auto [22kWCh],17862.5,250,55,0,8,0,0,0,20075.2,CAR,0,20075.2
SMFF00PR25HE A  1   ,SMART,FORFOUR,60kW EQ Prime Premium 17kWh 5dr Auto [22kWCh],17779.17,250,55,0,8,0,0,0,19983.21,CAR,0,19983.21
SMFB00PP22BE A  2   ,SMART,FORTWO CABRIO,60kW EQ Prime Prem Plus 17kWh 2dr Auto [22kWCh],19645.83,250,55,0,8,0,0,0,22043.99,CAR,0,22043.99
SMFC00PR22CE A  2   ,SMART,FORTWO COUPE,60kW EQ Prime Premium 17kWh 2dr Auto [22kWCh],17366.67,250,55,0,8,0,0,0,19527.81,CAR,0,19527.81
SMFC00EPS2CE A  2   ,SMART,FORTWO COUPE,60kW EQ Prime Premium Plus 17kWh 2dr Auto,17633.33,250,55,0,8,0,0,0,19822.19,CAR,0,19822.19
SMFF00EPP5HE A  1   ,SMART,FORFOUR,60kW EQ Prime Premium 5dr Auto 17kWh,17550,250,55,0,8,0,0,0,19730.2,CAR,0,19730.2
SMFB00EPS2BE A  2   ,SMART,FORTWO CABRIO,60kW EQ Prime Premium Plus 17kWh 2dr Auto,19416.67,250,55,0,8,0,0,0,21791.01,CAR,0,21791.01
SMFC00EPP2CE A  2   ,SMART,FORTWO COUPE,60kW EQ Prime Premium 17kWh 2dr Auto,17137.5,250,55,0,8,0,0,0,19274.8,CAR,0,19274.8
MEEQ00LMA5EE A4     ,MERCEDES-BENZ,EQC,EQC 400 300kW AMG Line 80kWh 5dr Auto,59308.33,670.83,55,0,6,0,0,0,67759.79,CAR,0,67759.79
MEAC13PSO4SPTA      ,MERCEDES-BENZ,A CLASS,A180 Sport 4dr Auto,22629.17,670.83,55,180,8,0,0,0,26022.6,CAR,230,26072.6
KINI163  5EXIA  1   ,KIA,NIRO,1.6 GDi PHEV 3 5dr DCT,26879.17,537.5,55,0,0,0,0,0,32955,CAR,0,32955
MEGS203PL5EDTA4 1   ,MERCEDES-BENZ,GLC,GLC 300d 4Matic AMG Line Premium Pls 5dr 9G-Tronic,42833.33,670.83,55,555,8,0,0,0,48702.99,CAR,945,49092.99
BMX530DXL5EXTA4 5   ,BMW,X5,xDrive45e xLine 5dr Auto,55754.17,708.33,55,0,8,0,0,0,62457.6,CAR,0,62457.6
BMX1208SP5EDTA4 3   ,BMW,X1,xDrive 18d Sport 5dr Step Auto,30091.67,708.33,55,180,7,0,0,0,34667.3,CAR,230,34717.3
DS3C00PEL5HE A      ,DS,DS 3,100kW E-TENSE Performance Line 50kWh 5dr Auto,28420.83,583.33,55,0,15,3.5,0,0,28550.57,CAR,0,28550.57
MEGB202OA5EDTA      ,MERCEDES-BENZ,GLB,GLB 200d AMG Line 5dr 8G-Tronic,31016.67,670.83,55,180,8,0,0,0,35282.4,CAR,230,35332.4
TOCH18ICO5HHIA  1   ,TOYOTA,C-HR,1.8 Hybrid Icon 5dr CVT,22940.83,605,55,105,19,0,0,0,23184.48,CAR,160,23239.48
MEGG203AL5EPTA4 1   ,MERCEDES-BENZ,GLC COUPE,GLC 300 4Matic AMG Line 5dr 9G-Tronic,41091.67,670.83,55,895,8,0,0,0,47120.2,CAR,1420,47645.2
LERX35RXS5EHIA4 5   ,LEXUS,RX,450h 3.5 5dr CVT,45415.83,605,55,210,12,0,0,0,48950.12,CAR,935,49675.12
SETR15FS 5EPIM      ,SEAT,TARRACO,1.5 TSI EVO FR Sport 5dr,30925,0,55,220,19,0,0,0,30334.1,CAR,585,30699.1
VWGO15STY5HPTM  7   ,VOLKSWAGEN,GOLF,1.5 TSI Style 5dr,22404.17,529.17,55,180,16,0,0,0,23453.4,CAR,190,23463.4
MEGA13LAE5HPTA  2   ,MERCEDES-BENZ,GLA,GLA 200 AMG Line Executive 5dr Auto,30416.67,670.83,55,180,8,0,0,0,34620,CAR,585,35025
DSD712PEL5HPTA      ,DS,DS 7,1.2 PureTech Performance Line 5dr EAT8,26791.67,583.33,55,180,9,3.5,0,0,29066.25,CAR,230,29116.25
PE2800AP 5HE A  2   ,PEUGEOT,208,100kW Allure Premium 50kWh 5dr Auto,25575,625,55,0,0,2,0,1500,29381.2,CAR,0,29381.2
SIIG12SZ55HPIM  2   ,SUZUKI,IGNIS,1.2 Dualjet 12V Hybrid SZ5 5dr,13808.79,377.88,55,115,0,0,0,0,17194,CAR,180,17259
SIIG12SZT5HPIM  2   ,SUZUKI,IGNIS,1.2 Dualjet 12V Hybrid SZ-T 5dr,12975.46,377.88,55,115,0,0,0,0,16194.01,CAR,180,16259.01
AUET005SR5EE A4     ,AUDI,E-TRON,300kW 55 Quattro 95kWh Sport 5dr Auto,62433.33,550,55,0,0,0,0,0,75635,CAR,0,75635
KINI003  5EE A  1   ,KIA,E-NIRO,150kW 3 64kWh 5dr Auto,30583.33,537.5,55,0,0,0,0,0,37400,CAR,0,37400
SEAA20FR 5EDTA  1   ,SEAT,ATECA,2.0 TDI 150 FR 5dr DSG,27712.5,0,55,180,18,0,0,0,27504.1,CAR,230,27554.1
SEAA205ST5EDTM  1   ,SEAT,ATECA,2.0 TDI 150 SE Technology 5dr,25404.17,0,55,180,18,0,0,0,25232.7,CAR,230,25282.7
