Cap Code,Manufacturer,Model Name,Variant,Basic List,Ex Works,Registration Fee,RFL 1 Year,Discount,Dealer,Additional,Gov Grant,OTR,CapType,RFL,OTR
TOCO18DSP5HHIA  8   ,TOYOTA,COROLLA,1.8 VVT-i Hybrid Design 5dr CVT [Panoramic Roof],23311.67,605,55,105,17,0,0,0,24104.43,CAR,160,24159.43
TOCO18DES5EHIA  8   ,TOYOTA,COROLLA,1.8 VVT-i Hybrid Design 5dr CVT,23607.5,605,55,105,17,0,0,0,24399.08,CAR,180,24474.08
TOCO18ICO5EHIA  8   ,TOYOTA,COROLLA,1.8 VVT-i Hybrid Icon 5dr CVT,21495,605,55,105,17,0,0,0,22295.02,CAR,160,22350.02
TOCO20EJP5HHIA  8   ,TOYOTA,COROLLA,2.0 VVT-i Hybrid Excel 5dr CVT [JBL/Pan Roof],26365.83,605,55,105,17,0,0,0,27146.37,CAR,180,27221.37
TOCO20EXB5HHIA  8   ,TOYOTA,COROLLA,2.0 VVT-i Hybrid Excel 5dr CVT [Bi-tone],25899.17,605,55,105,17,0,0,0,26681.57,CAR,180,26756.57
TOCO20EJB5HHIA  8   ,TOYOTA,COROLLA,2.0 VVT-i Hybrid Excel 5dr CVT [JBL/Bi-tone],26274.17,605,55,105,17,0,0,0,27055.07,CAR,180,27130.07
TOCO20DSP5EHIA  8   ,TOYOTA,COROLLA,2.0 VVT-i Hybrid Design 5dr CVT [Panoramic Roof],25845,605,55,105,17,0,0,0,26627.62,CAR,180,26702.62
TOCO20EJP5EHIA  8   ,TOYOTA,COROLLA,2.0 VVT-i Hybrid Excel 5dr CVT [JBL/Pan Roof],27978.33,605,55,105,17,0,0,0,28752.41,CAR,180,28827.41
TOCO20EXL5EHIA  8   ,TOYOTA,COROLLA,2.0 VVT-i Hybrid Excel 5dr CVT,26803.33,605,55,105,17,0,0,0,27582.11,CAR,180,27657.11
TOCO20DES5EHIA  8   ,TOYOTA,COROLLA,2.0 VVT-i Hybrid Design 5dr CVT,25045,605,55,105,17,0,0,0,25830.82,CAR,180,25905.82
MEBC20SPO5HDTA  4   ,MERCEDES-BENZ,B CLASS,B200d Sport 5dr Auto,25070.83,670.83,55,180,8,0,0,0,28718.19,CAR,230,28768.19
MEBC13SPO5HPTA  4   ,MERCEDES-BENZ,B CLASS,B180 Sport 5dr Auto,22862.5,670.83,55,180,8,0,0,0,26280.2,CAR,230,26330.2
KIPC16GT 5EPTA  5   ,KIA,PRO CEED,1.6T GDi ISG GT 5dr DCT,23270.83,537.5,55,220,0,0,0,0,28845,CAR,585,29210
TEMS001005HE A4 1   ,TESLA,MODEL S,449kW 100kWh Dual Motor 5dr Auto,76916.67,708.33,55,0,0,0,0,0,93205,CAR,0,93205
TEMX001005HE A4     ,TESLA,MODEL X,449kW 100kWh Dual Motor 5dr Auto,78583.33,708.33,55,0,0,0,0,0,95204.99,CAR,0,95204.99
MEGE307AM5EDTA4 1   ,MERCEDES-BENZ,GLE,GLE 400d 4Matic AMG Line 5dr 9G-Tronic [7 Seat],56479.17,670.83,55,895,8,0,0,0,64108,CAR,1420,64633
TOCO18ICT4SHIA  8   ,TOYOTA,COROLLA,1.8 VVT-i Hybrid Icon Tech 4dr CVT,20411.67,605,55,105,17,0,0,0,21216.03,CAR,160,21271.03
TOCO18ICO4SHIA  8   ,TOYOTA,COROLLA,1.8 VVT-i Hybrid Icon 4dr CVT,19382.5,605,55,105,17,0,0,0,20190.98,CAR,160,20245.98
TOCO18DES4SHIA  8   ,TOYOTA,COROLLA,1.8 VVT-i Hybrid Design 4dr CVT,21249.17,605,55,105,17,0,0,0,22050.17,CAR,160,22105.17
NILE00E3Z5HE A  1   ,NISSAN,LEAF,160kW e+ 3.Zero 62kWh 5dr Auto,33533.33,0,55,0,3,9,0,0,35466.2,CAR,0,35466.2
VWTC10SE 5EPTM      ,VOLKSWAGEN,T-CROSS,1.0 TSI SE 5dr,17708.33,529.17,55,180,16,0,0,0,18720,CAR,190,18730
DS3C12PEL5HPTM      ,DS,DS 3,1.2 PureTech Performance Line 5dr,20704.17,583.33,55,160,12,3.5,0,0,21909.02,CAR,190,21939.02
DS3C12PL35HPTA      ,DS,DS 3,1.2 PureTech 130 Performance Line 5dr EAT8,22920.83,583.33,55,160,12,3.5,0,0,24156.72,CAR,230,24226.72
BM3120MS 4SDTM  8   ,BMW,3 SERIES,318d M Sport 4dr,30233.33,708.33,55,180,7,0,0,0,34825.4,CAR,190,34835.4
TOPU18BEP5HHIA  3   ,TOYOTA,PRIUS,1.8 VVTi Business Edition Plus 5dr CVT,22465.83,605,55,105,14,0,0,0,24070.73,CAR,160,24125.73
TOPU18BE55HHIA  3   ,TOYOTA,PRIUS,1.8 VVTi Business Ed Plus 5dr CVT [15 inch alloy],22199.17,605,55,15,14,0,0,0,23705.55,CAR,140,23830.55
TOPU18EX55HHIA  3   ,TOYOTA,PRIUS,1.8 VVTi Excel 5dr CVT [15 inch alloy],23107.5,605,55,15,14,0,0,0,24642.94,CAR,140,24767.94
TOPU18EXL5HHIA  3   ,TOYOTA,PRIUS,1.8 VVTi Excel 5dr CVT,23374.17,605,55,105,14,0,0,0,25008.15,CAR,160,25063.15
BMI300SSW5HE A  1   ,BMW,I3,135kW S 33kWh 5dr Auto [Suite Interior World],31870.83,566.67,55,0,6,0,0,0,36685.3,CAR,0,36685.3
TEMX0010E5HE A4     ,TESLA,MODEL X,449kW 100kWh Dual Motor 5dr Auto [Auto pilot],82666.67,708.33,55,0,0,0,0,0,100105,CAR,0,100105
TEMX001075HE A4     ,TESLA,MODEL X,449kW 100kWh Dual Motor 5dr Auto [7 Seat],81000,708.33,55,0,0,0,0,0,98105,CAR,0,98105
TEMX005S75HE A4     ,TESLA,MODEL X,245kW 75kWh Dual Motor 5dr Auto [7 Seat],69500,708.33,55,0,0,0,0,0,84305,CAR,0,84305
TEMX005S65HE A4     ,TESLA,MODEL X,245kW 75kWh Dual Motor 5dr Auto [6 Seat],71916.67,708.33,55,0,0,0,0,0,87205,CAR,0,87205
TEMX001E75HE A4     ,TESLA,MODEL X,449kW 100kWh Dual Motor 5dr Auto [Auto pilot/7St],85083.33,708.33,55,0,0,0,0,0,103004.99,CAR,0,103004.99
TEMX0016E5HE A4     ,TESLA,MODEL X,449kW Perform Ludicrous 100kWh DM 5dr Auto AP/6 St,122916.67,708.33,55,0,0,0,0,0,148405,CAR,0,148405
TEMX0056A5HE A4     ,TESLA,MODEL X,245kW 75kWh Dual Motor 5dr Auto [Auto pilot/6St],76000,708.33,55,0,0,0,0,0,92105,CAR,0,92105
TEMS001PE5HE A4 1   ,TESLA,MODEL S,449kW Perform Ludicrous 100kWh DM 5dr Auto [AP],112750,708.33,55,0,0,0,0,0,136205,CAR,0,136205
TEMS005EA5HE A4 1   ,TESLA,MODEL S,241kW 75kWh Dual Motor 5dr Auto [Auto pilot],65333.33,708.33,55,0,0,0,0,0,79304.99,CAR,0,79304.99
TEMS0010E5HE A4 1   ,TESLA,MODEL S,449kW 100kWh Dual Motor 5dr Auto [Auto pilot],81000,708.33,55,0,0,0,0,0,98105,CAR,0,98105
MECA132OA4SPTA  2   ,MERCEDES-BENZ,CLA,CLA 200 AMG Line 4dr Tip Auto,27400,670.83,55,180,0,0,0,0,33920,CAR,230,33970
MECA132OG4SPTA  2   ,MERCEDES-BENZ,CLA,CLA 200 AMG Line Premium Plus 4dr Tip Auto,29900,670.83,55,180,0,0,0,0,36920,CAR,230,36970
MECA138AL4SPTA  2   ,MERCEDES-BENZ,CLA,CLA 180 AMG Line 4dr Tip Auto,26108.33,670.83,55,180,0,0,0,0,32369.99,CAR,230,32419.99
MECA138PP4SPTA  2   ,MERCEDES-BENZ,CLA,CLA 180 AMG Line Premium Plus 4dr Tip Auto,28608.33,670.83,55,180,0,0,0,0,35369.99,CAR,230,35419.99
MECA2025G4SPTA  2   ,MERCEDES-BENZ,CLA,CLA 250 AMG Line Premium Plus 4dr Tip Auto,31150,670.83,55,220,0,0,0,0,38460,CAR,585,38825
MECA2025M4SPTA  2   ,MERCEDES-BENZ,CLA,CLA 250 AMG Line Premium 4dr Tip Auto,29900,670.83,55,220,0,0,0,0,36960,CAR,585,37325
NILE00EPT5HE A  1   ,NISSAN,LEAF,160kW e+ Tekna 62kWh 5dr Auto,29075,0,55,0,3,9,0,0,30758.2,CAR,0,30758.2
BMX220SPO5HDTA      ,BMW,X2,sDrive 18d Sport 5dr Step Auto,29012.5,708.33,55,180,7,0,0,0,33462.95,CAR,230,33512.95
MNCC15CLC6EPTA  3   ,MINI,CLUBMAN,1.5 Cooper Classic 6dr Auto [Comfort Pack],21004.17,437.5,55,180,3,0,0,0,25208.85,CAR,230,25258.85
MNCC15CCN6EPTM  3   ,MINI,CLUBMAN,1.5 Cooper Classic 6dr [Comfort/Nav+ Pack],20754.17,437.5,55,180,3,0,0,0,24917.85,CAR,230,24967.85
MNCC15SCN6EPTA  3   ,MINI,CLUBMAN,1.5 Cooper Sport 6dr Auto [Comfort/Nav+ Pack],25087.5,437.5,55,180,3,0,0,0,29961.86,CAR,230,30011.86
MNCC15SPC6EPTM  3   ,MINI,CLUBMAN,1.5 Cooper Sport 6dr [Comfort Pack],22670.83,437.5,55,180,3,0,0,0,27148.85,CAR,230,27198.85
MNCC15CCN6EPTA  3   ,MINI,CLUBMAN,1.5 Cooper Classic 6dr Auto [Comfort/Nav+ Pack],22087.5,437.5,55,180,3,0,0,0,26469.86,CAR,230,26519.86
MNCC15SCN6EPTM  3   ,MINI,CLUBMAN,1.5 Cooper Sport 6dr [Comfort/Nav+ Pack],23754.17,437.5,55,180,3,0,0,0,28409.85,CAR,230,28459.85
MNCC15EXL6EPTM  3   ,MINI,CLUBMAN,1.5 Cooper Exclusive 6dr,21920.83,437.5,55,180,3,0,0,0,26275.85,CAR,230,26325.85
MNCC15SP 6EPTA  3   ,MINI,CLUBMAN,1.5 Cooper Sport 6dr Auto,23254.17,437.5,55,180,3,0,0,0,27827.85,CAR,230,27877.85
MNCC15ECN6EPTA  3   ,MINI,CLUBMAN,1.5 Cooper Exclusive 6dr Auto [Comfort/Nav+ Pack],25087.5,437.5,55,180,3,0,0,0,29961.86,CAR,230,30011.86
MNCC15EXC6EPTA  3   ,MINI,CLUBMAN,1.5 Cooper Exclusive 6dr Auto [Comfort Pack],24004.17,437.5,55,180,3,0,0,0,28700.85,CAR,230,28750.85
MNSC20JCW6EPTA4 3   ,MINI,CLUBMAN,2.0 John Cooper Works ALL4 6dr Auto,29400,437.5,55,555,3,0,0,0,35356.6,CAR,585,35386.6
LERC50TP 2CPIA  1   ,LEXUS,RC,5.0 2dr Auto [Track Pack],62686.67,605,55,2245,7,0,0,0,72984.32,CAR,2365,73104.32
LERC50   2CPIA  1   ,LEXUS,RC,5.0 2dr Auto,54561.67,605,55,2245,7,0,0,0,63916.82,CAR,2365,64036.82
LERC50SUN2CPIA  1   ,LEXUS,RC,5.0 2dr Auto [Sunroof],55311.67,605,55,2245,7,0,0,0,64753.82,CAR,2365,64873.82
TEM300LR 4SE A4     ,TESLA,MODEL 3,Long Range AWD 4dr Auto,45000,779.17,55,0,0,0,0,0,54990,CAR,0,54990
SMFB00ENS2BE A  2   ,SMART,FORTWO CABRIO,60kW EQ Edition Nightsky 17kWh 2dr Auto [22kWCh],22316.67,250,55,0,8,0,0,0,24992.61,CAR,0,24992.61
MECA20A354SPTA4 2   ,MERCEDES-BENZ,CLA,CLA 35 4Matic 4dr Tip Auto,33675,670.83,55,555,0,0,0,0,41825,CAR,945,42215
LERC50CAT2CPIA  1   ,LEXUS,RC,5.0 Carbon 2dr Auto [Track Pack],68520,605,55,2245,7,0,0,0,79494.32,CAR,2365,79614.32
MECA20L354SPTA4 2   ,MERCEDES-BENZ,CLA,CLA 35 Premium Plus 4Matic 4dr Tip Auto,38675,670.83,55,555,0,0,0,0,47825,CAR,1420,48690
MECA202PP4SDTA  2   ,MERCEDES-BENZ,CLA,CLA 220d AMG Line Premium Plus 4dr Tip Auto,32108.33,670.83,55,160,0,0,0,0,39549.99,CAR,230,39619.99
MECA2022L4SDTA  2   ,MERCEDES-BENZ,CLA,CLA 220d AMG Line 4dr Tip Auto,29608.33,670.83,55,160,0,0,0,0,36549.99,CAR,230,36619.99
MECA202LP4SDTA  2   ,MERCEDES-BENZ,CLA,CLA 220d AMG Line Premium 4dr Tip Auto,30858.33,670.83,55,160,0,0,0,0,38049.99,CAR,230,38119.99
VWPA15SL15EPTM  7   ,VOLKSWAGEN,PASSAT,1.5 TSI EVO SEL 5dr,26662.5,529.17,55,180,21,0,0,0,26146.06,CAR,230,26196.06
MEVC20ALG5EDTA  2   ,MERCEDES-BENZ,V CLASS,V220 d AMG Line 5dr 9G-Tronic [Long],51287.5,670.83,55,555,4,0,0,0,60498.2,CAR,1420,61363.2
MEVC20SPN5EDTA  2   ,MERCEDES-BENZ,V CLASS,V220 d Sport 5dr 9G-Tronic [Long],49729.17,670.83,55,555,4,0,0,0,58703,CAR,1420,59568
VWPA15RLI5EPTA  7   ,VOLKSWAGEN,PASSAT,1.5 TSI EVO R-Line 5dr DSG,30570.83,529.17,55,180,21,0,0,0,29851.16,CAR,230,29901.16
VWPA14GTV5EXTA  7   ,VOLKSWAGEN,PASSAT,1.4 TSI PHEV GTE Advance 5dr DSG,36950,529.17,55,0,21,0,0,0,35718.6,CAR,0,35718.6
VWPA14GTE5EXTA  7   ,VOLKSWAGEN,PASSAT,1.4 TSI PHEV GTE 5dr DSG,34708.33,529.17,55,0,21,0,0,0,33593.5,CAR,0,33593.5
MEVC20SPX5EDTA  2   ,MERCEDES-BENZ,V CLASS,V220 d Sport 5dr 9G-Tronic [Extra Long],48566.67,670.83,55,555,4,0,0,0,57363.8,CAR,1420,58228.8
MEVC20AXL5EDTA  2   ,MERCEDES-BENZ,V CLASS,V220 d AMG Line 5dr 9G-Tronic [Extra Long],50129.17,670.83,55,555,4,0,0,0,59163.8,CAR,1420,60028.8
VWPA20RLI5EDTA  7   ,VOLKSWAGEN,PASSAT,2.0 TDI EVO SCR R-Line 5dr DSG,32562.5,529.17,55,160,21,0,0,0,31719.26,CAR,230,31789.26
MEGE30G5P5EPTA4 1   ,MERCEDES-BENZ,GLE,GLE 53 4Matic+ Prem + 5dr 9G-Tronic [7 Seats],69558.33,670.83,55,1345,0,0,0,0,85674.99,CAR,2005,86334.99
DSD716PL85HPTA      ,DS,DS 7,1.6 PureTech 180 Performance Line 5dr EAT8,29687.5,583.33,55,180,9,3.5,0,0,32106.87,CAR,585,32511.87
MEEQ00SPO5EE A4     ,MERCEDES-BENZ,EQC,EQC 400 300kW Sport 80kWh 5dr Auto,57645.83,670.83,55,0,6,0,0,0,65884.49,CAR,0,65884.49
MEEQ00PLL5EE A4     ,MERCEDES-BENZ,EQC,EQC 400 300kW AMG Line Premium Plus 80kWh 5dr Auto,65054.17,670.83,55,0,6,0,0,0,74241.1,CAR,0,74241.1
MEEQ00ED85EE A4     ,MERCEDES-BENZ,EQC,EQC 400 300kW Edition 1886 80kWh 5dr Auto,65454.17,616.67,55,0,6,0,0,0,74627.31,CAR,0,74627.31
BM1S20M135HPTA4 4   ,BMW,1 SERIES,M135i xDrive 5dr Step Auto,30816.67,708.33,55,555,5,0,0,0,36591,CAR,585,36621
KINI163  5EHIA  1   ,KIA,NIRO,1.6 GDi Hybrid 3 5dr DCT,22704.17,537.5,55,130,0,0,0,0,28075,CAR,180,28125
KINI162  5EHIA  1   ,KIA,NIRO,1.6 GDi Hybrid 2 5dr DCT,20712.5,537.5,55,105,0,0,0,0,25660,CAR,160,25715
MEGG2022L5EDTA4 1   ,MERCEDES-BENZ,GLC COUPE,GLC 220d 4Matic AMG Line 5dr 9G-Tronic,40016.67,670.83,55,220,8,0,0,0,45258.4,CAR,585,45623.4
MEGG203PL5EDTA4 1   ,MERCEDES-BENZ,GLC COUPE,GLC 300d 4Matic AMG Line Prem Plus 5dr 9G-Tronic,46354.17,670.83,55,555,8,0,0,0,52590,CAR,945,52980
MEGG202LP5EDTA4 1   ,MERCEDES-BENZ,GLC COUPE,GLC 220d 4Matic AMG Line Premium 5dr 9G-Tronic,42350,670.83,55,220,8,0,0,0,47834.4,CAR,945,48559.4
MEGS203LP5EDTA4 1   ,MERCEDES-BENZ,GLC,GLC 300d 4Matic AMG Line Premium 5dr 9G-Tronic,39708.33,670.83,55,555,8,0,0,0,45252.99,CAR,945,45642.99
MEGS202LP5EDTA4 1   ,MERCEDES-BENZ,GLC,GLC 220d 4Matic AMG Line Premium 5dr 9G-Tronic,38829.17,670.83,55,220,8,0,0,0,43947.4,CAR,585,44312.4
KISP16GTS5EPTA4 5   ,KIA,SPORTAGE,1.6T GDi GT-Line S 5dr DCT Auto [AWD],27208.33,537.5,55,555,0,0,0,0,33905,CAR,1420,34770
KICD103IS5HPTM  4   ,KIA,CEED,1.0T GDi ISG 3 5dr,18229.17,537.5,55,180,0,0,0,0,22755,CAR,190,22765
CIBL15FX35EDTA      ,CITROEN,BERLINGO,1.5 BlueHDi 130 Flair XTR M 5dr EAT8,22937.5,629.17,55,160,18,2.5,0,0,22852.38,CAR,230,22922.38
MNSC20JNW6EPTA4 3   ,MINI,CLUBMAN,2.0 John Cooper Works ALL4 6dr Auto [Nav+ Pack],30483.33,437.5,55,555,3,0,0,0,36617.6,CAR,585,36647.6
MEAC13PSO5HPTA  6   ,MERCEDES-BENZ,A CLASS,A180 Sport 5dr Auto,22550,670.83,55,180,8,0,0,0,25935.2,CAR,230,25985.2
BMX530XDM5EXTA4 5   ,BMW,X5,xDrive45e M Sport 5dr Auto,58670.83,708.33,55,0,8,0,0,0,65677.59,CAR,0,65677.59
BMX744M565EPTA4     ,BMW,X7,xDrive M50i 5dr Step Auto [6 Seat],79262.5,708.33,55,1910,10,0,0,0,88418.5,CAR,2365,88873.5
BMX744M505EPTA4     ,BMW,X7,xDrive M50i 5dr Step Auto,78766.67,708.33,55,1910,10,0,0,0,87883,CAR,2365,88338
KISL00FE 5HE A  4   ,KIA,SOUL,150kW First Edition 64kWh 5dr Auto,28579.17,537.5,55,0,0,0,0,0,34995,CAR,0,34995
MECA2025A5EPTA  2   ,MERCEDES-BENZ,CLA,CLA 250 AMG Line 5dr Tip Auto,29483.33,670.83,55,220,0,0,0,0,36459.99,CAR,585,36824.99
MECA138AP5EPTA  2   ,MERCEDES-BENZ,CLA,CLA 180 AMG Line Premium 5dr Tip Auto,28191.67,670.83,55,180,0,0,0,0,34870,CAR,230,34920
MECA2025M5EPTA  2   ,MERCEDES-BENZ,CLA,CLA 250 AMG Line Premium 5dr Tip Auto,30733.33,670.83,55,220,0,0,0,0,37959.99,CAR,585,38324.99
MECA20P355EPTA4 2   ,MERCEDES-BENZ,CLA,CLA 35 Premium 4Matic 5dr Tip Auto,36591.67,670.83,55,895,0,0,0,0,45665,CAR,1420,46190
MECA20L355EPTA4 2   ,MERCEDES-BENZ,CLA,CLA 35 Premium Plus 4Matic 5dr Tip Auto,39508.33,670.83,55,895,0,0,0,0,49164.99,CAR,1420,49689.99
MECA138PP5EPTA  2   ,MERCEDES-BENZ,CLA,CLA 180 AMG Line Premium Plus 5dr Tip Auto,29441.67,670.83,55,180,0,0,0,0,36370,CAR,230,36420
MECA2025G5EPTA  2   ,MERCEDES-BENZ,CLA,CLA 250 AMG Line Premium Plus 5dr Tip Auto,31983.33,670.83,55,220,0,0,0,0,39459.99,CAR,585,39824.99
KIXD102  5HPTM      ,KIA,XCEED,1.0T GDi ISG 2 5dr,16945.83,537.5,55,180,0,0,0,0,21215,CAR,230,21265
BMX1208XL5EDTA  3   ,BMW,X1,sDrive 18d xLine 5dr Step Auto,29675,708.33,55,180,7,0,0,0,34202.3,CAR,230,34252.3
BMX1208XL5EDTM  3   ,BMW,X1,sDrive 18d xLine 5dr,28341.67,708.33,55,180,7,0,0,0,32714.3,CAR,230,32764.3
BMX1208SP5EDTA  3   ,BMW,X1,sDrive 18d Sport 5dr Step Auto,28841.67,708.33,55,180,7,0,0,0,33272.3,CAR,230,33322.3
BMX120S185EDTM  3   ,BMW,X1,sDrive 18d SE 5dr,26050,708.33,55,180,7,0,0,0,30156.8,CAR,190,30166.8
BMX1208SP5EDTM  3   ,BMW,X1,sDrive 18d Sport 5dr,27508.33,708.33,55,180,7,0,0,0,31784.3,CAR,190,31794.3
BMX120M185EDTM  3   ,BMW,X1,sDrive 18d M Sport 5dr,29008.33,708.33,55,180,7,0,0,0,33458.3,CAR,230,33508.3
BMX120S185EDTA4 3   ,BMW,X1,xDrive 18d SE 5dr Step Auto,28633.33,708.33,55,180,7,0,0,0,33039.8,CAR,230,33089.8
BMX120M185EDTA  3   ,BMW,X1,sDrive 18d M Sport 5dr Step Auto,30341.67,708.33,55,180,7,0,0,0,34946.3,CAR,230,34996.3
BMX120M185EDTA4 3   ,BMW,X1,xDrive 18d M Sport 5dr Step Auto,31591.67,708.33,55,180,7,0,0,0,36341.3,CAR,230,36391.3
BMX1202SP5EDTA4 3   ,BMW,X1,xDrive 20d Sport 5dr Step Auto,31045.83,708.33,55,180,7,0,0,0,35732.14,CAR,230,35782.14
MECA138AL5EPTA  2   ,MERCEDES-BENZ,CLA,CLA 180 AMG Line 5dr Tip Auto,26941.67,670.83,55,180,0,0,0,0,33370,CAR,230,33420
BMX120M205EDTA4 3   ,BMW,X1,xDrive 20d M Sport 5dr Step Auto,32545.83,708.33,55,180,7,0,0,0,37406.14,CAR,230,37456.14
BMX1202XL5EDTA4 3   ,BMW,X1,xDrive 20d xLine 5dr Step Auto,31879.17,708.33,55,180,7,0,0,0,36662.15,CAR,230,36712.15
KICD102NA5HPTM  4   ,KIA,CEED,1.0T GDi ISG 2 NAV 5dr,16687.5,537.5,55,180,0,0,0,0,20905,CAR,190,20915
BMX644M505EPTA4 2   ,BMW,X6,xDrive M50i 5dr Auto,66479.17,708.33,55,1910,8,0,0,0,76208,CAR,2365,76663
BMZ42030M2RPTA  3   ,BMW,Z4,sDrive 30i M Sport 2dr  Auto,36445.83,708.33,55,220,10,0,0,0,40486.5,CAR,585,40851.5
LEUX20PRM5HHIA      ,LEXUS,UX,250h 2.0 5dr CVT [Premium Pack/Nav],28336.67,605,55,170,10,0,0,0,31554.6,CAR,180,31564.6
LEUX20FTP5HHIA4     ,LEXUS,UX,250h E4 2.0 F-Sport 5dr CVT [Takumi Pack],37382.5,605,55,210,10,0,0,0,41364.1,CAR,180,41334.1
TOCO20DSP5HHIA  8   ,TOYOTA,COROLLA,2.0 VVT-i Hybrid Design 5dr CVT [Panoramic Roof],24749.17,605,55,105,17,0,0,0,25536.17,CAR,180,25611.17
TOCO18EXB5HHIA  8   ,TOYOTA,COROLLA,1.8 VVT-i Hybrid Excel 5dr CVT [Bi-tone],24461.67,605,55,105,17,0,0,0,25249.83,CAR,180,25324.83
TOCO20EXR5EHIA  8   ,TOYOTA,COROLLA,2.0 VVT-i Hybrid Excel 5dr CVT [Panoramic Roof],27603.33,605,55,105,17,0,0,0,28378.91,CAR,180,28453.91
PE2800GTL5HE A  2   ,PEUGEOT,208,100kW GT Line 50kWh 5dr Auto,25962.5,595.83,55,0,2.5,2,0,0,30523.02,CAR,0,30523.02
DS3C00PRE5HE A      ,DS,DS 3,100kW E-TENSE Prestige 50kWh 5dr Auto,27704.17,583.33,55,0,0,0,0,0,34000,CAR,0,34000
DS3C00UP 5HE A      ,DS,DS 3,100kW E-TENSE Ultra Prestige 50kWh 5dr Auto,31537.5,583.33,55,0,0,0,0,0,38600,CAR,0,38600
LERX35FS 5EHIA4 5   ,LEXUS,RX,450h 3.5 F-Sport 5dr CVT,48874.17,605,55,210,12,0,0,0,52602.12,CAR,935,53327.12
DS3C00LP 5HE A      ,DS,DS 3,100kW E-TENSE La Premiere 50kWh 5dr Auto,32279.17,583.33,55,0,0,0,0,0,39490,CAR,0,39490
KINI00FE 5EE A  1   ,KIA,E-NIRO,150kW First Edition 64kWh 5dr Auto,29870.83,495.83,55,0,0,0,0,0,36494.99,CAR,0,36494.99
LERX35LPC5EHIA4 5   ,LEXUS,RX,450h L 3.5 5dr CVT [Premium pack],47990.83,605,55,210,12,0,0,0,51669.32,CAR,935,52394.32
LERX35TAK5EHIA4 5   ,LEXUS,RX,450h 3.5 Takumi 5dr CVT,54540.83,605,55,210,12,0,0,0,58586.12,CAR,935,59311.12
LERX35FPT5EHIA4 5   ,LEXUS,RX,450h 3.5 F-Sport 5dr CVT [Premium +Tech/Safety pk],50999.17,605,55,210,12,0,0,0,54846.12,CAR,935,55571.12
LERX35FTP5EHIA4 5   ,LEXUS,RX,450h 3.5 F-Sport 5dr CVT [Takumi pack],53707.5,605,55,210,12,0,0,0,57706.12,CAR,935,58431.12
LERX35LTK5EHIA4 5   ,LEXUS,RX,450h L 3.5 Takumi 5dr CVT,55290.83,605,55,210,12,0,0,0,59378.12,CAR,935,60103.12
KICD10GTL5HPTM  4   ,KIA,CEED,1.0T GDi ISG GT-Line 5dr,18920.83,537.5,55,180,0,0,0,0,23585,CAR,190,23595
BMZ430M4T2RPTA  3   ,BMW,Z4,sDrive M40i 2dr Auto [Tech Pack],43570.83,708.33,55,555,10,0,0,0,48516.5,CAR,945,48906.5
BM3A20MTE4SPTA  8   ,BMW,3 SERIES,320i M Sport 4dr Step Auto [Tech Pack],30595.83,708.33,55,180,7,0,0,0,35229.94,CAR,230,35279.94
BM3 20MTE4SPTA  8   ,BMW,3 SERIES,330i M Sport 4dr Step Auto [Tech Pack],33808.33,708.33,55,220,7,0,0,0,38855.1,CAR,230,38865.1
TEMX005E75HE A4     ,TESLA,MODEL X,245kW 75kWh Dual Motor 5dr Auto [Auto pilot/7St],73583.33,708.33,55,0,0,0,0,0,89204.99,CAR,0,89204.99
BMX120TMP5EDTA4 3   ,BMW,X1,xDrive 20d M Sport 5dr Step Auto [Tech Pack II],33587.5,708.33,55,180,7,0,0,0,38568.65,CAR,230,38618.65
BMX120SMT5EDTA4 3   ,BMW,X1,xDrive 18d M Sport 5dr Step Auto [Tech Pack II],32633.33,708.33,55,180,7,0,0,0,37503.8,CAR,230,37553.8
MNCC15CL 6EPTM  3   ,MINI,CLUBMAN,1.5 Cooper Classic 6dr,18920.83,437.5,55,180,3,0,0,0,22783.85,CAR,230,22833.85
VWPA15SEN5EPTA  7   ,VOLKSWAGEN,PASSAT,1.5 TSI EVO SE Nav 5dr DSG,27412.5,529.17,55,180,21,0,0,0,26857.06,CAR,230,26907.06
VWPA20SEN5EDTA  7   ,VOLKSWAGEN,PASSAT,2.0 TDI EVO SCR SE Nav 5dr DSG,29404.17,529.17,55,160,21,0,0,0,28725.15,CAR,190,28755.15
VWPA20SEN5EDTM  7   ,VOLKSWAGEN,PASSAT,2.0 TDI EVO SCR SE Nav 5dr,28070.83,529.17,55,160,21,0,0,0,27461.16,CAR,190,27491.16
VWPA20SL15EDTA  7   ,VOLKSWAGEN,PASSAT,2.0 TDI EVO SCR SEL 5dr DSG,29987.5,529.17,55,160,21,0,0,0,29278.16,CAR,190,29308.16
MA2 15LSE5HPIM  4   ,MAZDA,2,1.5 Skyactiv G 75 SE-L 5dr,13633.33,0,55,140,17,0,0,0,13773.79,CAR,170,13803.79
MEVC20M2P4EDTA  2   ,MERCEDES-BENZ,V CLASS,V220 d Marco Polo Sport 4dr 9G-Tronic [Long],54100,670.83,55,555,4,0,0,0,63738.2,CAR,1420,64603.2
KISP164V25EDTA  5   ,KIA,SPORTAGE,1.6 CRDi 48V ISG 2 5dr DCT Auto,22541.67,537.5,55,180,0,0,0,0,27930,CAR,220,27970
MEGB132OA5EPTA      ,MERCEDES-BENZ,GLB,GLB 200 AMG Line 5dr 7G-Tronic,30100,670.83,55,220,8,0,0,0,34310.4,CAR,585,34675.4
